wine_id,wine_name,wine_year,wine_type,wine_price,Beschreibung,wine_alcohol,wine_tastes,wine_country
11,CHÂTEAU BONNET Classique,2015,red,7.95,"Wenn ein Wein bei Jacques’ den Namen Klassiker verdient, dann der Château Bonnet aus der Appellation Bordeaux. Seit 1976 begeistert die Cuvée aus Merlot und Cabernet Sauvignon mit purer Stilistik zum fairen Etat. Die aktuelle Edition macht da keine Ausnahme. Funkelndes, tiefes Bordeauxrot in der Farbe. Das feinziselierte Bouquet duftet nach Schwarzen Johannisbeeren, Brombeeren und feinen Kräutern. Am Gaumen einerseits schon harmonisch und zugänglich, andererseits aber genügend Struktur zeigend, um einige Jahre zu reifen. Classique à la française.",13.18%,mittelkräftig&ausgewogen,Frankreich
12,PUGIBET Cabernet Noir,2016,red,7.95,"Es ist längst mehr als nur eine Spielerei ökologischer Nischenwinzer. Was? Der Anbau von Piwis! Das sind pilzwiderstandsfähige Rebsorten, die es den Winzern ermöglichen auf Pflanzenschutzmittel weitgehend zu verzichten. Lange Zeit argwöhnisch beäugt, liefern Winzer wie Familie Pugibet längst großartige Wein wie diesen Cabernet Noir. Und der macht mit seiner tiefroten intensiven Farbe seinem Namen alle Ehre. Das Bouquet zeigt schwarze Früchte wie Cassis und Holunder, dazu Kräuter und etwas Lorbeer. Am Gaumen kräftig, würzig, sehr ausgewogen und mit einem tiefgründigen Nachklang. Passt sehr gut zu kräftigen vegetarischen Rezepten. ",12.39%,mittelkräftig&ausgewogen,Frankreich
13,PAUL MAS VIGNES DE NICOLE Rouge,2001,red,8.2,"Jean-Claude Mas bedient sich hier bei zwei der berühmtesten Regionen Frankreichs und schafft es gleichwohl einen eigenen Stil daraus zu komponieren. Denn mit Merlot und Cabernet Sauvignon treffen zwei Bordelaiser Rebsorten auf Syrah und Grenache, die an der Rhône ihre Heimat haben. Die Cuvée daraus ist ein kleines Wunderwerk. Einem dichten Purpurrot folgt ein üppiges Bouquet nach reifen Schwarzkirschen, Brombeeren, dunkler Schokolade, Tabakblättern und mediterranen Kräutern. Am Gaumen würzig, stoffig, dicht, mit reichlich Frucht, reifem Tannin und einem beerenstarken Nachhall. ",13.59%,körperreich&vollmundig,Frankreich
14,ABBAYE DE VALMAGNE,2003,red,8.4,"Das malerische Languedoc ist ein wahres Füllhorn unterschiedlichster Weine, doch oft gibt es gleichwohl eine Gemeinsamkeit: die Rebsorten! So kultiviert man auch auf der Abbaye de Valmagne Syrah, Mourvèdre und Grenache und formt daraus einen wunderbar authentischen Vin Rouge. Dichtes Rubinrot bildet den Auftakt. Die Aromen-Melodie ist aus Kirsche, Cassis und würzigen Noten wie Zigarrentabak, Lorbeer und Thymian komponiert. Am Gaumen würzig-kräftig, gut strukturiert, mit erstaunlich langem Nachhall. Ein Südfranzose mit Stil und Charakter.",13.36%,mittelkräftig&ausgewogen,Frankreich
15,LE CHAMP DES MURAILLES,2008,red,8.95,"Pierre Bories ist Winzer mit Leib und Seele und das merkt man seinen Weinen an. Allen voran dem Le Champ des Murailles, eine typische Corbières-Cuvée aus Carignan, Syrah und Grenache. Herrlich, wie er Purpurrot im Glas funkelt. Das tolle Bouquet nach reifen Blaubeeren, Schwarzkirschen und mediterraner Garrigue beeindruckt. Am Gaumen saftig-würzig, der Syrah bringt die typische Kräuterwürzigkeit ein, Grenache sorgt für Fruchttiefe, während der Carignan für das nötige Tannin sorgt. Ein Wein mit ganz viel Herz. ",14.17%,körperreich&vollmundig,Frankreich
16,Rhônetal DOMAINE SAINTE-ANNE Saint-Gervais,2008,red,9.2,"Hier treffen drei Dingen aufeinander, die für erstklassigen Wein schon fast garantieren: Erstens die Appellation Côtes du Rhône Villages Saint Gervais Contrôlée, zweitens die beiden Rebsorten Grenache und Syrah und drittens eine engagierte Winzerfamilie. Denn ohne Guy Steinmaier mit seinen Söhnen Jean und Alain käme heute nicht ein so prächtiger Wein in die Flasche. Die aktuelle Edition ist dabei besonders gut gelungen. Mit ihrer satten dunkelroten Farbe, dem prächtigen Bouquet mit reicher Frucht und dezenten Kräutern und dem kernigen, kräftig-würzigen Auftritt am Gaumen. Rhône Rouge par excellence! ",14.77%,körperreich&vollmundig,Frankreich
17,Rhônetal DOMAINE DE LA PRÉSIDENTE Cairanne,2019,red,9.8,"Was lange währt, wird endlich Cru! Viele, viele Jahre warteten die Winzer im 1000-Seelen-Dorf Cairanne (öst­lich von Oran­ge liegend) darauf, den offiziellen Status eines Rhône-Crus zu bekommen, im Jahr 2018 war es dann soweit. Zu Recht, denn die Weingärten stehen hier unter dem starken Einfluss des von Norden so gut wie unbehindert herüberwehenden kalten Mistrals, der für hohe Temperatur-Unterschiede bei Tag und Nacht sorgt. Das lässt die Weine oft finessenreicher und würziger wirken als die der tie­fer lie­gen­den Gemeinden. Weine, wie der Domaine de la Présidente, der mit seinem tiefroten Kleid, dem herrlichen Bouquet nach reifen Kirschen, Schwarzen Johannisbeeren, Erdbeer-Kompott und einem Hauch Schoko und der großzügigen Struktur mit sämigen Tanninen und reicher Substanz im Finale ein überzeugender Vertreter aus Cairanne ist. Exzellent zu geschmortem Fleisch und kräftigen vegetarischen Gerichten wie einer Gemüse-Lasagne.",14.57%,körperreich&vollmundig,Frankreich
18,CHÂTEAU CAZAL VIEL Vieilles Vignes,2012,red,9.9,"Der Vieilles Vignes ist sozusagen aus dem Tafelsilber des Château Cazal Viel geschmiedet, findet sich in ihm doch das Lesegut von bis zu 90 Jahre alten Reben wieder. Dazu kommt eine pingelige Weinbereitung und ein 12-monatiger Ausbau in zwei-bis dreijährigen Fässern. Und dieser Aufwand zahlt sich aus: Dem tief granatroten Gewand mit violetten Reflexen folgt ein intensives Bouquet nach Früchten wie roten und schwarzen Beeren und Gewürzen wie schwarzem Pfeffer und Nelken. Am Gaumen ist die Cuvée aus Syrah, Grenache und Mourvèdre erstaunlich rund und vollmundig, zeigt ein sehr feines Gleichgewicht zwischen reifen Tanninen und gut integrierten Eichenaromen. Der Nachhall nochmal würzig und intensiv. Ein sehr guter Begleiter kräftiger mediterraner Küche.",14.94%,körperreich&vollmundig,Frankreich
19,DOMAINE DE L'ARJOLLE Cabernet,2019,red,9.95,"Komplex, vielfältig und lagerfähig - so zeichnet sich die Cuvée aus Cabernet Sauvignon (80 %) und Cabernet Franc (20 %) der Domaine d'Arjolle aus. Dass die beiden Bordelaiser Rebsorte im Languedoc so gut gedeihen, verdanken sie dem unermüdlichen Einsatz der Familie Teisserenc. Das Ergebnis spricht für sich. Mit einem dichten Schwarzrot in der Robe präsentiert sich der Wein im Glas. Der Nase öffnet sich ein breites Duftspektrum mit Sauerkirsche, Brombeere und Cassis, dazu Noten vom Barrique-Ausbau wie Mokka, Rauch und Tabak. Am Gaumen gibt sich dieser Wein reich und großzügig, mit einer perfekten Ausgewogenheit zwischen tiefgründiger Struktur und reifen Tanninen. Der verblüffend lange Nachhall weist auf eine lange Zukunft hin. Kultige Cabernet-Cuvée at its best! ",14.59%,körperreich&vollmundig,Frankreich
20,"L'ARJOLLE Cabernet Magnum 1,5 Liter",2020,red,19.9,"Komplex, vielfältig und lagerfähig - so zeichnet sich die Cuvée aus Cabernet Sauvignon (80 %) und Cabernet Franc (20 %) der Domaine d'Arjolle aus. Dass die beiden Bordelaiser Rebsorten-Riesen im Languedoc so gut performen, verdankt sie dem unermüdlichen Einsatz der Familie Teisserenc. Das Ergebnis spricht für sich. Mit einem dichten Schwarzrot in der Robe präsentiert sich der Wein im Glas. Der Nase öffnet sich ein breites Duftspektrum mit Sauerkirsche, Brombeere und Cassis, dazu Noten vom Barrique-Ausbau wie Mokka, Rauch und Kuba-Tabak. Am Gaumen gibt sich dieser Wein reich und großzügig, mit einer perfekten Ausgewogenheit zwischen tiefgründiger Struktur und reifen Tanninen. Der verblüffend lange Nachhall weist auf eine lange Zukunft hin. Kultige Cabernet-Cuvée at its best! ",14.65%,körperreich&vollmundig,Frankreich
21,CHÂTEAU BONNET Réserve,2008,red,10.9,"Die Weine vom Château Bonnet gehören zu Jacques’ wie der Eiffelturm zu Paris. Seit über 45 Jahren im Sortiment, kommt nun der großartige Jahrgang 2016, der „dem Weinfreund grandiose Weine in jeder Preisklasse bringt“, wie das Weinmagazin Falstaff schreibt. Und der legt los wie die Feuerwehr: Tiefes, intensives Bordeauxrot macht den Auftakt, dem ein wunderbarer Duft-Akkord aus Schwarzen Johannisbeeren, Brombeeren, Kräutern, Gewürzen und Fassnoten wie Vanille und Tabak folgt. Am Gaumen dominiert noch jugendliche Kraft die Tonart: vollreife Tannine treffen auf profunde Struktur, Frucht und Fass sind im harmonischen Einklang, bevor das Finale nochmals die Stimmen anhebt. Ein großer Jahrgang dieses Klassikers, der auch mal für 10 Jahre im Keller verschwinden kann, wenn man denn seiner Verführungskraft zu widerstehen vermag. ",13.73%,körperreich&vollmundig,Frankreich
22,Rhônetal RASTEAU Rouge,2017,red,10.95,"Mit langem Atem arbeiteten die Winzer von Rasteau daran, ihre Appellation in den Cru-Status zu heben, allen voran die Vignerons de Rasteau. Im Jahr 2010 war es dann soweit, aber anstatt sich auf den Lorbeeren auszuruhen, nutzten man die vergangene Dekade, die Qualität der Weine besser und besser zu machen. Und das, ohne in die Preisgefilde abzuheben, in denen andere Rhône-Crus wie Gigondas unterwegs sind. DIe aktuelle Version Rasteau startet mit einer purpurroten Farbe mit lila Saum. Das kräftige Bouquet mit dunklen Beeren, Kirschen, Kräutern, Unterholz und Garrique ist ebenso beeindruckend wie das fruchtig-würzige Gaumengefühl, das getragen wird von dichter Struktur, feinreifen Tanninen und einem erstaunlich langen Nachhall. Eine ganz sichere Bank!",14.89%,körperreich&vollmundig,Frankreich
23,Rhônetal DOMAINE SAINTE-ANNE Cuvée Notre Dame,2013,red,11.8,"Sie haben eine prächtiges Comeback hingelegt: die Weine der Appellation Côtes du Rhône Villages! Das liegt einerseits an rührigen Winzern, andererseits aber auch an enormen Investionen in Know-now, Weinberge und Keller. Ein Glücksgriff ist Cuvée Notre Dame von der Domaine Sainte-Anne, die schon mit dem dunklen Rubinrot zu einem Glas einlädt. Im üppigen Bouquet finden sich schwarzen Beeren und rote Kirschen begleitet von mediterranen Kräutern und dezent floralen Aromen. Am Gaumen wirkt er saftig, würzig und zeigt sich mit einer stoffigen Struktur und viel Beerenfrucht - typisch südliche Rhône.",14.76%,körperreich&vollmundig,Frankreich
24,CHÂTEAU LAVILLE BERTROU,2015,red,12.4,"Château Laville Bertrou ist in dem kleinen malerischen Dorf La Livinière ansässig, das auch der Appellation Minervois-la-Livinière den Namen gab. Bereits 1997 ging das Weingut in den Besitz von Gérard Bertrand über, der es seitdem zu einem der besten Adressen im Minervois formte. Hier ist das Königreich der Syrah-Rebe, die extrem tiefe Wurzeln entwickelt, um in der wasserkargen Gegend zu bestehen. Und die mit Grenache und Carignan zwei kongeniale Partner findet. Die aktuelle Edition fließt im dunklen Rubinrot ins Glas. Das weit gefächerte Bouquet duftet nach Kirschen, Brombeeren, Heidelbeeren und Erdbeeren, was sich mit Noten von Süßholz, Leder und Unterholz vermischt. Am Gaumen reich und geschmeidig, die Tannine sind präsent, aber rund und reif, sie unterstützen die zarten Aromen von kleinen roten und schwarzen Früchten. Der Nachhall ist von subtilen Holznoten geprägt. Ein klassischer Südfranzose!",15.34%,körperreich&vollmundig,Frankreich
25,CHÂTEAU PLAISANCE,2019,red,12.5,"Was für eine Kraft und was für eine Seidigkeit! Der reinsortige Merlot des Château Plaisance zeigt auf eindrucksvolle Weise, wie gut sich die Appellation Montagne-Saint-Émilion entwickelt hat. Das wird schon an der tiefdunklen, bordeauxroten Farbe deutlich, der ein üppiges Bouquet nach Süßkirschen, reifen Pflaumen und Schwarzen Johannisbeeren auf der Fruchtseite und Vanille, Toast und Bitterschoko auf der Fasseite folgt. Auch am Gaumen entfaltet das exzellente Jahr seine Wirkung: fester Tanninkern bei hoher Fruchtdichte, tiefer Textur und einem ellenlangen Nachhall. Das ist Bordeaux von seiner besten Seite... Jetzt oder erst in ein paar Jahren!",14.66%,körperreich&vollmundig,Frankreich
26,DOMAINE DE VILLEMAJOU Rouge,2015,red,11.95,"Die bemerkenswerte Qualität dieser Cuvée stammt von sehr alten Carignan- und Syrah-Reben, die diesen Wein prägen. Auch die aufwendige Vinifizierung mit dem Ausbau im Fass sind ungewöhnlich für einen Wein dieser Preisklasse. Das Resultat beeindruckt: Einem festen Granatrot in der Robe folgt ein herrliches Bouquet nach Toast, Waldbeeren, Gewürzen, Süßholz und getrockneten Pflaumen. Am Gaumen mit wunderbar reifen, fast cremigen Tanninen, großer Ausgewogenheit zwischen Frucht und Körper, der Nachhall fest und vielversprechend. Der Wein hat noch Reife-Potenzial. Sehr gut zu geschmortem Fleisch und würziger vegetarischer Küche.",15.48%,körperreich&vollmundig,Frankreich
27,MADIRAN Tannat Paradox,2021,red,12.9,"Er ist und bleibt eine französische Wein-Legende: der Madiran! Und er ist seit einiger Zeit wieder so gut in Form wie lange nicht mehr. Bestes Beispiel dafür ist der Madiran Paradox, der schon mit seinem tiefdunklen Bordeauxrot begeistert. Das herrlich animierende Bouquet mit dunklen Waldbeeren, Rauch, dunkler Schokolade und einem Hauch WIldkräutern ist mindestens so einladend wie der würzig-dichte Geschmack, die kräftigen Tanninen und der Nachhall mit viel Kräuterwürzigkeit. Ein Paradoxon, das sich erstaunlich leicht auflösen lässt.",13.47%,mittelkräftig&ausgewogen,Frankreich
28,CHÂTEAU DE LANCYRE Coste d'Aleyrac,2006,red,13.2,"So poetisch beschreibt Régis Valentin, den Weingarten des La Coste d'Aleyrac: „Aleyrac ist eine prächtige kleine romanische Kapelle aus dem 12. Jahrhundert, die inmitten der Weinberge liegt. Hier ist die Umgebung magisch, der Wanderer macht Halt an einem wahren Ort des Friedens. In der Ruhe und Stille, im Schatten der jahrhundertealten Platanen, kann man den Duft dieser wunderschönen mediterranen Macchia einatmen, eingehüllt von der süßen Melodie der Zikaden."" Auch sein Wein ist ein Gedicht und startet mit einem tiefen und undurchdringlichen Rot. Das vielgestaltige Bouquet verströmt Aromen nach Schwarzkirschen und Rose, denen schwarzen Oliven, Lakritze und Gewürze folgen. Am Gaumen üppig, fleischig, würzig, vollreife Tannine treffen auf samtige Struktur und einem erstaunlich langen, frischen und eleganten Nachhall.  ",14.54%,körperreich&vollmundig,Frankreich
29,CASTELMAURE Grande Cuvée,2016,red,13.6,"Es ist als Wein-Liebhaber immer wieder wunderbar mitanzusehen, wenn engagierte Winzer alles geben, um einen sehr, sehr guten Wein zu erzeugen. Die Grande Cuvée von Castelmaure ist ein solcher. Von alten Reben (20-40 Jahre), handgelesen und 10 -12 Monate in Barriques ausgebaut, findet man hier einen Corbières der Extraklasse. Nach der intensive Farbe mit violetten Reflexen zeigt ein reizvolles Bouquet Anklänge nach kleinen schwarzen Beeren, schwarzen Kirschen mit einem Hauch von Pfeffer, Röstnoten und Edelschokolade. Am Gaumen kräftig, großzügig und dicht, der Nachhall würzig, lang und viel Potenzial zeigend. Ein herrlicher, ehrlicher Wein zur südfranzösischen Küche!",14.75%,körperreich&vollmundig,Frankreich
30,CHÂTEAU L'HOSPITALET,2018,red,13.7,"Gérard Bertrand kann mit Fug und Recht ""Monsieur Sud de France"" nennen. Wie nur wenige andere Weinerzeuger kämpft er mit Herz, Verstand und exzellenten Weinen für seine südfranzösische Heimat. Eines seiner schönsten Weingüter ist das Château l'Hospitalet, das im Naturpark des Felsmassivs von La Clape inmitten einer 1000 Hektar großen geschützten Buschlandschaft liegt. Und das herrlich mediterrane Weine hervorbringt wie diese verführerische Réserve aus Syrah, Mourvèdre und Grenache, die mit einem prächtigen Kirschrot ins Glas fließt. Das üppige Bouquet schenkt uns reiche Aromen von Süßkirschen, Cassis, Brombeeren und Blaubeeren auf der Fruchtseite, dazu Kräuternoten wie Rosmarin und Thymian. Am Gaumen wirkt der Wein stoffig, würzig und dicht. Glänzende Tanninstruktur trifft auf reiches Extrakt, der Nachhall ungemein charmant und einnehmend, wie dies auch sein Erzeuger sein kann.  ",14.82%,körperreich&vollmundig,Frankreich
31,CHÂTEAU PAUL MAS Clos de Savignac,2009,red,14.95,"Ein heimlicher Star unter den Weinen von Jean Claude Mas! Schon die fast schwarze Robe deutet auf extrem reifes Lesegut hin. Das enorm delikate Bouquet liefert eine echtes Spektakel ab: Tiefe Fruchtaromatik (dunkle Beeren, reife Pflaumen), balsamische Noten (Heidekräuter, Menthol), Gewürze (Koriander, schwarzer Pfeffer), Röstaromen (Toast) und Reifenoten (Waldboden, Trüffel) ergeben ein charmantes Wechselspiel. Am Gaumen überwiegt die Frucht, eingerahmt von gut entwickelten Tanninen, glänzend eingebundenen Fassaromen und zarter Kräuterwürzigkeit.",14.07%,körperreich&vollmundig,Frankreich
32,CHÂTEAU LA TOUR DE BY Magnum,2012,red,19.95,"Eine Magnum-Flasche Bordeaux ist immer etwas Besonderes: als Geschenk, im Kreis lieber Weinfreunde, an festlichen Tafeln und natürlich für den Weinkeller. Freuen sie sich also auf einen ausgesprochen gut gelungenen Jahrgang La Tour de By 2017, der schon mit der sehr tiefen und intensiven roten Farbe von einer schönen Reife der Trauben kündet. Das reine und komplexe Bouquet wird vom Duft reifer roter Früchte dominiert (Brombeeren, Schwarze Johannisbeeren), perfekt komplettiert mit Noten vom Fassausbau und leichten Kräuter- und Gewürzakzenten. Am Gaumen mit reichhaltigem Auftakt, dem eine exzellente, schön ausgewogene Tanninstruktur folgt, im Nachhall schon erstaunlich zugänglich. Gleichwohl besitzt der Wein eine lange Lagerfähigkeit von 10 Jahren und mehr, erst recht in der 1,5-Liter-Magnum!",12.72%,körperreich&vollmundig,Frankreich
33,CHÂTEAU JACQUES NOIR,2008,red,15.5,"Klassischer Saint-Émilion, aus 100 % Merlot vinifiziert, der alles hat, was man von einem Wein solch berühmter Herkunft erwartet. Das geht los mit dem tiefen Bordeauxrot, setzt sich fort mit einem herrlich vielschichtigen Bouquet nach roten Kirschen, Schwarzen Johannisbeeren, Vanille, dunkler Schokolade, Gewürzen und einem Hauch Menthol. Am Gaumen treffen gezügelte Frucht auf reifes Tannin und eine profunde Struktur. Besitzt Reife-Potenzial, was auch der lange, vollmundige Nachhall beweist. Classic never goes out of style; selten stimmt dieser schöne Spruch so wie hier.",14.53%,mittelkräftig&ausgewogen,Frankreich
34,CHÂTEAU DE BARBE BLANCHE,2014,red,17.6,"„This is a very pretty wine“, schreibt der berühmte Weinkritiker Antonio Galloni über den Château Barbe Blanche und auch seine Kollegen Hubrecht Duijker und Michael Broadbent, sind der Meinung der Wein ist „wahrhaft ein Genuss“. In der Tat, die Cuvée aus 85 % Merlot und 15 % Cabernet Franc hinterlässt schon mit der tiefen, purpurroten Farbe mit violetten Reflexen einen wunderbaren ersten Eindruck. Das komplexe Bouquet offeriert Aromen von schwarzen Beeren, kandierten Früchten, Gewürzen und eine gut integrierte Vanillenote vom Ausbau im Eichenfass. Am Gaumen rund, dicht und großzügig. Der Merlot sorgt für reifes Tannin und dunkle Frucht, während der Cabernet Franc Struktur und Extrakt hinzufügt. Das Nachhall schon von deutlichen Reifenoten geprägt. Ein klassischer Bordeaux, der sehr gut zu gegrilltem Lamm, Fleischpasteten oder Wildgerichten passt.",13.61%,körperreich&vollmundig,Frankreich
35,CHÂTEAU DE ROCHEMORIN Rouge,2002,red,17.9,"Château de Rochemorin wäre nicht zu einem Schatz der Appellation Pessac-Léognan geworden, ohne den Einsatz der Vignobles André Lurton. Und die jahrzehntelangen Mühen bringen nun seit vielen Jahren ebenso prächtige wie klassische Graves-Weine hervor. Auch der aktuelle Jahrgang ist ein wahres Musterbeispiel Bordelaiser Finesse und Eleganz, die sich schon in der rubinroten Farbe mit den granatroten Reflexen andeuten. Das Bouquet mit schöner Balance aus Frucht und Fass: schwarze Kirschen, Cassis und Brombeeren treffen auf Rauch, Tabak und Röstaromen. Am Gaumen mit reifen Tanninen, mittelschwerem Körper, differenzierter Struktur und einem Nachhall von erstaunlicher Länge. Wer Bordeaux mag, wird den Château de Rochemorin lieben. ",12.70%,körperreich&vollmundig,Frankreich
36,CHÂTEAU LA CROIX ROMANE,2012,red,18.95,"Sie gehören zu den Sehnsuchtsweinen viele Bordeaux-Liebhaber, die Gewächse aus der Appellation Pomerol. Nur schade, dass viele dieser Weine ausgesprochen kostspielig sind. Schaut man ein wenig über die Grenze findet man schnell den Satelliten Lalande de Pomerol, der viel Terrain gut gemacht hat in den letzten Jahren und einen glänzenden Weinwert bietet. Das Château La Croix Romane ist ein prächtiger Vertreter, der schon mal mit seiner tiefpurpurnen Farbe Eindruck macht. Auch das vielfältige Bouquet mit schwarzen Früchten wie Pflaume, Cassis und Kirsche, Fassaromen vom 12-monatigen Ausbau in Barriques wie Rauch, Leder und Vanille, sowie einer leicht ätherischen Nuance (Minze) machen Lust auf ein erstes Glas. Am Gaumen stoffig, kräftig mit exzellentem Tanningerüst, tiefgründiger Textur und ein Nachhall mit herrlich cremiger Textur, der Merlot (80 %) lässt grüßen. Ein toller Wein, ein seriöser Lalande de Pomerol!",13.64%,mittelkräftig&ausgewogen,Frankreich
